investigations	NNS	investigation
of	IN	of
sequence	NN	sequence
diversity	NN	diversity
of	IN	of
SARS	NP	<unknown>
coronavirus	NN	coronavirus
2	CD	@card@
(	(	(
SARS-CoV-2	NP	<unknown>
)	)	)
have	VBP	have
identified	VBN	identify
a	DT	a
preponderance	NN	preponderance
of	IN	of
C-&gt	NP	<unknown>
;	:	;
U	NP	U
transitions	NNS	transition
,	,	,
proposed	VBN	propose
to	TO	to
be	VB	be
driven	VBN	drive
by	IN	by
an	DT	an
APOBEC-like	JJ	<unknown>
RNA	NP	RNA
editing	VBG	edit
process	NN	process
.	SENT	.
The	DT	the
current	JJ	current
study	NN	study
investigated	VBN	investigate
whether	IN	whether
this	DT	this
phenomenon	NN	phenomenon
could	MD	could
be	VB	be
observed	VBN	observe
in	IN	in
datasets	NNS	<unknown>
of	IN	of
other	JJ	other
RNA	NP	RNA
viruses	NNS	virus
.	SENT	.
Using	VBG	use
a	DT	a
5	CD	@card@
%	NN	%
divergence	NN	divergence
filter	NN	filter
to	TO	to
infer	VB	infer
directionality	NN	directionality
,	,	,
18	CD	@card@
from	IN	from
36	CD	@card@
datasets	NNS	<unknown>
of	IN	of
aligned	VBN	align
coding	VBG	code
region	NN	region
sequences	NNS	sequence
from	IN	from
a	DT	a
diverse	JJ	diverse
range	NN	range
of	IN	of
mammalian	JJ	mammalian
RNA	NP	RNA
viruses	NNS	virus
(	(	(
including	VBG	include
Picornaviridae	NP	<unknown>
,	,	,
Flaviviridae	NP	<unknown>
,	,	,
Matonaviridae	NP	<unknown>
,	,	,
Caliciviridae	NP	<unknown>
and	CC	and
Coronaviridae	NP	<unknown>
)	)	)
showed	VBD	show
a	DT	a
&gt	NN	&gt
;	:	;
2-fold	JJ	<unknown>
base	NN	base
composition	NN	composition
normalised	VBD	normalise
excess	JJ	excess
of	IN	of
C-&gt	NP	<unknown>
;	:	;
U	NP	U
transitions	NNS	transition
compared	VBN	compare
to	TO	to
U-&gt	NP	<unknown>
;	:	;
C	NP	C
(	(	(
range	NN	range
2.1x-7.5x	NN	<unknown>
)	)	)
,	,	,
with	IN	with
a	DT	a
consistently	RB	consistently
observed	VBN	observe
favoured	VBD	favour
5	CD	@card@
'	POS	'
U	NP	U
upstream	JJ	upstream
context	NN	context
.	SENT	.
The	DT	the
presence	NN	presence
of	IN	of
genome	NN	genome
scale	NN	scale
RNA	NP	RNA
secondary	JJ	secondary
structure	NN	structure
(	(	(
GORS	NP	<unknown>
)	)	)
was	VBD	be
the	DT	the
only	RB	only
other	JJ	other
genomic	JJ	<unknown>
or	CC	or
structural	JJ	structural
parameter	NN	parameter
significantly	RB	significantly
associated	VBN	associate
with	IN	with
C-&gt	NP	<unknown>
;	:	;
U/U-&gt	NP	<unknown>
;	:	;
C	NP	C
transition	NN	transition
asymmetries	NNS	asymmetry
by	IN	by
multivariable	JJ	multivariable
analysis	NN	analysis
(	(	(
ANOVA	NP	<unknown>
)	)	)
,	,	,
potentially	RB	potentially
reflecting	VBG	reflect
RNA	NP	RNA
structure	NN	structure
dependence	NN	dependence
of	IN	of
sites	NNS	site
targeted	VBN	target
for	IN	for
C-&gt	NP	<unknown>
;	:	;
U	NP	U
mutations	NNS	mutation
.	SENT	.
Using	VBG	use
the	DT	the
association	NN	association
index	NN	index
metric	NN	metric
,	,	,
C-&gt	NP	<unknown>
;	:	;
U	NP	U
changes	NNS	change
were	VBD	be
specifically	RB	specifically
over-represented	VBN	over-represent
at	IN	at
phylogenetically	RB	phylogenetically
uninformative	JJ	uninformative
sites	NNS	site
,	,	,
potentially	RB	potentially
paralleling	VBG	parallel
extensive	JJ	extensive
homoplasy	NN	homoplasy
of	IN	of
this	DT	this
transition	NN	transition
reported	VBD	report
in	IN	in
SARS-CoV-2	NP	<unknown>
.	SENT	.
Although	IN	although
mechanisms	NNS	mechanism
remain	VBP	remain
to	TO	to
be	VB	be
functionally	RB	functionally
characterised	VBN	characterise
,	,	,
excess	JJ	excess
C-&gt	NP	<unknown>
;	:	;
U	NP	U
substitutions	NNS	substitution
accounted	VBD	account
for	IN	for
11-14	CD	@card@
%	NN	%
of	IN	of
standing	VBG	stand
sequence	NN	sequence
variability	NN	variability
of	IN	of
structured	JJ	structured
viruses	NNS	virus
and	CC	and
may	MD	may
therefore	RB	therefore
represent	VB	represent
a	DT	a
potent	JJ	potent
driver	NN	driver
of	IN	of
their	PP$	their
sequence	NN	sequence
diversification	NN	diversification
and	CC	and
longer-term	JJ	longer-term
evolution	NN	evolution
.	SENT	.
The	DT	the
rapid	JJ	rapid
evolution	NN	evolution
of	IN	of
RNA	NP	RNA
viruses	NNS	virus
is	VBZ	be
thought	VBN	think
to	TO	to
arise	VB	arise
from	IN	from
high	JJ	high
mutation	NN	mutation
frequencies	NNS	frequency
during	IN	during
replication	NN	replication
and	CC	and
the	DT	the
rapid	JJ	rapid
accumulation	NN	accumulation
of	IN	of
genetic	JJ	genetic
changes	NNS	change
over	IN	over
time	NN	time
in	IN	in
response	NN	response
to	TO	to
its	PP$	its
changing	VBG	change
environments	NNS	environment
.	SENT	.
This	DT	this
study	NN	study
describes	VBZ	describe
an	DT	an
additional	JJ	additional
potent	JJ	potent
factor	NN	factor
that	WDT	that
contributes	VBZ	contribute
to	TO	to
the	DT	the
evolution	NN	evolution
of	IN	of
RNA	NP	RNA
viruses	NNS	virus
infecting	VBG	infect
mammals	NNS	mammal
,	,	,
the	DT	the
occurrence	NN	occurrence
of	IN	of
specific	JJ	specific
C-&gt	NP	<unknown>
;	:	;
U	NP	U
mutations	NNS	mutation
in	IN	in
a	DT	a
subset	NN	subset
that	WDT	that
possess	VBP	possess
intensely	RB	intensely
structured	JJ	structured
genomes	NNS	genome
.	SENT	.
This	DT	this
mutational	JJ	mutational
process	NN	process
substantially	RB	substantially
damages	VBZ	damage
the	DT	the
virus	NN	virus
's	POS	's
ability	NN	ability
to	TO	to
replicate	VB	replicate
and	CC	and
is	VBZ	be
potentially	RB	potentially
akin	JJ	akin
to	TO	to
"	``	"
genome	NN	genome
editing	VBG	edit
"	``	"
of	IN	of
HIV-1	NP	<unknown>
and	CC	and
other	JJ	other
retrovirus	NN	retrovirus
genome	NN	genome
sequences	NNS	sequence
by	IN	by
APOBEC	NP	<unknown>
,	,	,
one	CD	one
of	IN	of
the	DT	the
principal	JJ	principal
components	NNS	component
of	IN	of
vertebrate	JJ	vertebrate
antiretroviral	JJ	antiretroviral
defence	NN	defence
mechanisms	NNS	mechanism
.	SENT	.
This	DT	this
study	NN	study
however	RB	however
provides	VBZ	provide
evidence	NN	evidence
for	IN	for
a	DT	a
wider	JJR	wide
mutational	JJ	mutational
activity	NN	activity
against	IN	against
several	JJ	several
human	JJ	human
and	CC	and
veterinary	JJ	veterinary
RNA	NP	RNA
viruses	NNS	virus
,	,	,
including	VBG	include
HCV	NP	HCV
and	CC	and
foot	NN	foot
and	CC	and
mouth	NN	mouth
disease	NN	disease
virus	NN	virus
.	SENT	.
The	DT	the
C-&gt	NP	<unknown>
;	:	;
U	NP	U
mutational	JJ	mutational
process	NN	process
accounted	VBD	account
for	IN	for
15-20	CD	@card@
%	NN	%
of	IN	of
standing	VBG	stand
sequence	NN	sequence
variability	NN	variability
of	IN	of
these	DT	these
RNA	NP	RNA
viruses	NNS	virus
,	,	,
representing	VBG	represent
a	DT	a
potent	JJ	potent
driver	NN	driver
of	IN	of
their	PP$	their
sequence	NN	sequence
diversification	NN	diversification
and	CC	and
longer-term	JJ	longer-term
evolution	NN	evolution
.	SENT	.
34898715/	CD	@card@
Effects	NNS	effect
of	IN	of
COVID-19	NP	<unknown>
on	IN	on
integration	NN	integration
of	IN	of
women	NNS	woman
refugees	NNS	refugee
into	IN	into
Turkish	JJ	Turkish
society	NN	society
The	DT	the
objective	NN	objective
of	IN	of
this	DT	this
research	NN	research
is	VBZ	be
to	TO	to
determine	VB	determine
how	WRB	how
the	DT	the
COVID-19	NP	<unknown>
pandemic	NN	pandemic
influenced	VBD	influence
integration	NN	integration
of	IN	of
women	NNS	woman
refugees	NNS	refugee
into	IN	into
Turkish	JJ	Turkish
society	NN	society
.	SENT	.
The	DT	the
study	NN	study
was	VBD	be
designed	VBN	design
as	IN	as
a	DT	a
qualitative	JJ	qualitative
study	NN	study
between	IN	between
March	NP	March
2020	CD	@card@
and	CC	and
June	NP	June
2020	CD	@card@
.	SENT	.
The	DT	the
notion	NN	notion
of	IN	of
integration	NN	integration
is	VBZ	be
redefined	VBN	redefin
as	IN	as
an	DT	an
eight-dimensional	JJ	eight-dimensional
model	NN	model
composed	VBN	compose
of	IN	of
education	NN	education
,	,	,
sociocultural	JJ	sociocultural
,	,	,
health	NN	health
,	,	,
economy	NN	economy
,	,	,
legal	JJ	legal
,	,	,
shelter	NN	shelter
,	,	,
family	NN	family
and	CC	and
security	NN	security
.	SENT	.
Semi-structured	JJ	semi-structured
interviews	NNS	interview
were	VBD	be
conducted	VBN	conduct
by	IN	by
telephone	NN	telephone
,	,	,
with	IN	with
50	CD	@card@
women	NNS	woman
refugees	NNS	refugee
in	IN	in
Turkey	NP	Turkey
,	,	,
about	IN	about
the	DT	the
impact	NN	impact
of	IN	of
COVID-19	NP	<unknown>
on	IN	on
integration	NN	integration
.	SENT	.
The	DT	the
results	NNS	result
of	IN	of
the	DT	the
research	NN	research
indicate	VBP	indicate
that	IN	that
most	JJS	most
women	NNS	woman
refugees	NNS	refugee
had	VBD	have
both	DT	both
positive	JJ	positive
and	CC	and
negative	JJ	negative
experiences	NNS	experience
in	IN	in
economic	JJ	economic
,	,	,
education	NN	education
and	CC	and
sociocultural	JJ	sociocultural
dimensions	NNS	dimension
of	IN	of
integration	NN	integration
.	SENT	.
The	DT	the
COVID-19	NP	<unknown>
outbreak	NN	outbreak
affected	VBD	affect
their	PP$	their
integration	NN	integration
in	IN	in
an	DT	an
unprecedented	JJ	unprecedented
way	NN	way
,	,	,
especially	RB	especially
in	IN	in
daily	JJ	daily
and	CC	and
work	NN	work
life	NN	life
as	RB	as
well	RB	well
as	IN	as
access	NN	access
to	TO	to
health	NN	health
services	NNS	service
.	SENT	.
Similarly	RB	similarly
,	,	,
language	NN	language
barriers	NNS	barrier
faced	VBN	face
by	IN	by
refugee	NN	refugee
women	NNS	woman
create	VBP	create
significant	JJ	significant
challenges	NNS	challenge
and	CC	and
obstacles	NNS	obstacle
,	,	,
making	VBG	make
the	DT	the
integration	NN	integration
process	NN	process
more	RBR	more
complex	JJ	complex
.	SENT	.
Refugee	NN	refugee
women	NNS	woman
stated	VBD	state
that	IN	that
COVID-19	NP	<unknown>
positively	RB	positively
influenced	VBD	influence
the	DT	the
security	NN	security
dimension	NN	dimension
of	IN	of
integration	NN	integration
.	SENT	.
34910338/	CD	@card@
Time	NN	time
course	NN	course
of	IN	of
antibody	NN	antibody
concentrations	NNS	concentration
against	IN	against
the	DT	the
spike	NN	spike
protein	NN	protein
of	IN	of
SARS-CoV-2	NP	<unknown>
among	IN	among
healthy	JJ	healthy
hospital	NN	hospital
workers	NNS	worker
up	RB	up
to	TO	to
200	CD	@card@
days	NNS	day
after	IN	after
their	PP$	their
first	JJ	first
COVID-19	NP	<unknown>
vaccination	NN	vaccination
32292259/	CD	@card@
Understanding	NN	understanding
of	IN	of
guidance	NN	guidance
for	IN	for
acupuncture	NN	acupuncture
and	CC	and
moxibustion	NN	<unknown>
interventions	NNS	intervention
on	IN	on
COVID-19	NP	<unknown>
(	(	(
Second	NP	Second
edition	NN	edition
)	)	)
issued	VBN	issue
by	IN	by
CAAM	NP	<unknown>
At	IN	at
present	NN	present
,	,	,
the	DT	the
situation	NN	situation
of	IN	of
global	JJ	global
fight	NN	fight
against	IN	against
COVID-19	NP	<unknown>
is	VBZ	be
serious	JJ	serious
.	SENT	.
WHO	WP	who
(	(	(
World	NP	World
Health	NP	Health
Organization)-China	NP	Organization)-China
Joint	NP	Joint
Mission	NP	Mission
fully	RB	fully
confirms	VBZ	confirm
the	DT	the
success	NN	success
of	IN	of
"	``	"
China	NP	China
's	POS	's
model	NN	model
"	''	"
against	IN	against
COVID-19	NP	<unknown>
in	IN	in
the	DT	the
report	NN	report
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
one	CD	one
particular	JJ	particular
power	NN	power
in	IN	in
"	``	"
China	NP	China
's	POS	's
model	NN	model
"	``	"
is	VBZ	be
acupuncture	NN	acupuncture
and	CC	and
moxibustion	NN	<unknown>
of	IN	of
traditional	JJ	traditional
Chinese	JJ	Chinese
medicine	NN	medicine
.	SENT	.
To	TO	to
better	RBR	well
apply	VB	apply
"	``	"
non-pharmaceutic	JJ	non-pharmaceutic
measures":the	NN	<unknown>
external	JJ	external
technique	NN	technique
of	IN	of
traditional	JJ	traditional
Chinese	JJ	Chinese
medicine	NN	medicine
,	,	,
in	IN	in
the	DT	the
article	NN	article
,	,	,
the	DT	the
main	JJ	main
content	NN	content
of	IN	of
Guidance	NN	guidance
for	IN	for
acupuncture	NN	acupuncture
and	CC	and
moxibustion	NN	<unknown>
interventions	NNS	intervention
on	IN	on
COVID-19	NP	<unknown>
(	(	(
Second	NP	Second
edition	NN	edition
)	)	)
issued	VBN	issue
by	IN	by
China	NP	China
Association	NP	Association
of	IN	of
Acupuncture-Moxibution	NP	<unknown>
is	VBZ	be
introduced	VBN	introduce
and	CC	and
the	DT	the
discussion	NN	discussion
is	VBZ	be
stressed	VBN	stress
on	IN	on
the	DT	the
selection	NN	selection
of	IN	of
moxibustion	NN	<unknown>
device	NN	device
and	CC	and
the	DT	the
duration	NN	duration
of	IN	of
its	PP$	its
exertion	NN	exertion
.	SENT	.
35519622/	CD	@card@
The	DT	the
Potential	JJ	potential
of	IN	of
Eukaryotic	NP	<unknown>
Cell-Free	NP	<unknown>
Systems	NPS	Systems
as	IN	as
a	DT	a
Rapid	NP	Rapid
Response	NP	Response
to	TO	to
Novel	NP	Novel
Zoonotic	NP	<unknown>
Pathogens	NNS	pathogen
:	:	:
Analysis	NN	analysis
of	IN	of
SARS-CoV-2	NP	<unknown>
Viral	JJ	viral
Proteins	NPS	Proteins
The	DT	the
ongoing	JJ	ongoing
pandemic	NN	pandemic
caused	VBN	cause
by	IN	by
the	DT	the
novel	NN	novel
coronavirus	NN	coronavirus
(	(	(
SARS-CoV-2	NP	<unknown>
)	)	)
has	VBZ	have
led	VBN	lead
to	TO	to
more	JJR	more
than	IN	than
445	CD	@card@
million	CD	million
infections	NNS	infection
and	CC	and
the	DT	the
underlying	VBG	underlie
disease	NN	disease
,	,	,
COVID-19	NP	<unknown>
,	,	,
resulted	VBN	result
in	IN	in
more	JJR	more
than	IN	than
6	CD	@card@
million	CD	million
deaths	NNS	death
worldwide	RB	worldwide
.	SENT	.
The	DT	the
scientific	JJ	scientific
world	NN	world
is	VBZ	be
already	RB	already
predicting	VBG	predict
future	JJ	future
zoonotic	JJ	<unknown>
diseases	NNS	disease
.	SENT	.
Hence	RB	hence
,	,	,
rapid	JJ	rapid
response	NN	response
systems	NNS	system
are	VBP	be
needed	VBN	need
to	TO	to
tackle	VB	tackle
future	JJ	future
epidemics	NNS	epidemic
and	CC	and
pandemics	NNS	pandemic
.	SENT	.
Here	RB	here
,	,	,
we	PP	we
present	VBP	present
the	DT	the
use	NN	use
of	IN	of
eukaryotic	JJ	<unknown>
cell-free	JJ	<unknown>
systems	NNS	system
for	IN	for
the	DT	the
rapid	JJ	rapid
response	NN	response
to	TO	to
novel	JJ	novel
zoonotic	JJ	<unknown>
diseases	NNS	disease
represented	VBN	represent
by	IN	by
SARS-CoV-2	NP	<unknown>
.	SENT	.
Non-structural	JJ	non-structural
,	,	,
structural	JJ	structural
and	CC	and
accessory	JJ	accessory
proteins	NNS	protein
encoded	VBN	encode
by	IN	by
SARS-CoV-2	NP	<unknown>
were	VBD	be
synthesized	VBN	synthesize
by	IN	by
cell-free	JJ	<unknown>
protein	NN	protein
synthesis	NN	synthesis
in	IN	in
a	DT	a
fast	JJ	fast
and	CC	and
efficient	JJ	efficient
manner	NN	manner
.	SENT	.
The	DT	the
inhibitory	JJ	inhibitory
effect	NN	effect
of	IN	of
the	DT	the
non-structural	JJ	non-structural
protein	NN	protein
1	CD	@card@
on	IN	on
protein	NN	protein
synthesis	NN	synthesis
could	MD	could
be	VB	be
shown	VBN	show
in	IN	in
vitro	NN	<unknown>
.	SENT	.
Structural	JJ	structural
proteins	NNS	protein
were	VBD	be
quantitatively	RB	quantitatively
detected	VBN	detect
by	IN	by
commercial	JJ	commercial
antibodies	NNS	antibody
,	,	,
therefore	RB	therefore
facilitating	VBG	facilitate
cell-free	JJ	<unknown>
systems	NNS	system
for	IN	for
the	DT	the
validation	NN	validation
of	IN	of
available	JJ	available
antibodies	NNS	antibody
.	SENT	.
The	DT	the
cytotoxic	JJ	cytotoxic
envelope	NN	envelope
protein	NN	protein
was	VBD	be
characterized	VBN	characterize
in	IN	in
electrophysiological	JJ	electrophysiological
planar	JJ	planar
lipid	NN	lipid
bilayer	NN	bilayer
measurements	NNS	measurement
.	SENT	.
Hence	RB	hence
,	,	,
our	PP$	our
study	NN	study
demonstrates	VBZ	demonstrate
the	DT	the
potential	NN	potential
of	IN	of
eukaryotic	JJ	<unknown>
cell-free	JJ	<unknown>
systems	NNS	system
as	IN	as
a	DT	a
rapid	JJ	rapid
response	NN	response
mechanism	NN	mechanism
for	IN	for
the	DT	the
synthesis	NN	synthesis
,	,	,
functional	JJ	functional
characterization	NN	characterization
and	CC	and
antibody	NN	antibody
validation	NN	validation
against	IN	against
a	DT	a
viral	JJ	viral
pathogen	NN	pathogen
.	SENT	.
35013628/	CD	@card@
Recognition	NP	Recognition
efficiency	NN	efficiency
of	IN	of
atypical	JJ	atypical
cardiovascular	JJ	cardiovascular
readings	NNS	reading
on	IN	on
ECG	NP	ECG
devices	NNS	device
through	IN	through
fogged	JJ	fogged
goggles	NNS	goggle
In	IN	in
their	PP$	their
continuing	JJ	continuing
battle	NN	battle
against	IN	against
the	DT	the
COVID-19	NP	<unknown>
pandemic	NN	pandemic
,	,	,
medical	JJ	medical
workers	NNS	worker
in	IN	in
hospitals	NNS	hospital
worldwide	RB	worldwide
need	VBP	need
to	TO	to
wear	VB	wear
safety	NN	safety
glasses	NNS	glass
and	CC	and
goggles	NNS	goggle
to	TO	to
protect	VB	protect
their	PP$	their
eyes	NNS	eye
from	IN	from
the	DT	the
possible	JJ	possible
transmission	NN	transmission
of	IN	of
the	DT	the
virus	NN	virus
.	SENT	.
However	RB	however
,	,	,
they	PP	they
work	VBP	work
for	IN	for
long	JJ	long
hours	NNS	hour
and	CC	and
need	VBP	need
to	TO	to
wear	VB	wear
a	DT	a
mask	NN	mask
and	CC	and
other	JJ	other
personal	JJ	personal
protective	JJ	protective
equipment	NN	equipment
,	,	,
which	WDT	which
causes	VBZ	cause
their	PP$	their
protective	JJ	protective
eye	NN	eye
wear	NN	wear
to	TO	to
fog	VB	fog
up	RP	up
.	SENT	.
This	DT	this
fogging	VBG	fog
up	RP	up
of	IN	of
eye	NN	eye
wear	NN	wear
,	,	,
in	IN	in
turn	NN	turn
,	,	,
has	VBZ	have
a	DT	a
substantial	JJ	substantial
impact	NN	impact
in	IN	in
the	DT	the
speed	NN	speed
and	CC	and
accuracy	NN	accuracy
of	IN	of
reading	VBG	read
information	NN	information
on	IN	on
the	DT	the
interface	NN	interface
of	IN	of
electrocardiogram	NN	electrocardiogram
(	(	(
ECG	NP	ECG
)	)	)
machines	NNS	machine
.	SENT	.
To	TO	to
gain	VB	gain
a	DT	a
better	JJR	good
understanding	NN	understanding
of	IN	of
the	DT	the
extent	NN	extent
of	IN	of
the	DT	the
impact	NN	impact
,	,	,
this	DT	this
study	NN	study
experimentally	RB	experimentally
simulates	VBZ	simulate
the	DT	the
fogging	VBG	fog
of	IN	of
protective	JJ	protective
goggles	NNS	goggle
when	WRB	when
viewing	VBG	view
the	DT	the
interface	NN	interface
with	IN	with
three	CD	three
variables	NNS	variable
:	:	:
the	DT	the
degree	NN	degree
of	IN	of
fogging	VBG	fog
of	IN	of
the	DT	the
goggles	NNS	goggle
,	,	,
brightness	NN	brightness
of	IN	of
the	DT	the
screen	NN	screen
,	,	,
and	CC	and
color	NN	color
of	IN	of
the	DT	the
font	NN	font
of	IN	of
the	DT	the
cardiovascular	JJ	cardiovascular
readings	NNS	reading
.	SENT	.
This	DT	this
experimental	JJ	experimental
study	NN	study
on	IN	on
the	DT	the
target	NN	target
recognition	NN	recognition
of	IN	of
digital	JJ	digital
font	NN	font
is	VBZ	be
carried	VBN	carry
out	RP	out
by	IN	by
simulating	VBG	simulate
the	DT	the
interface	NN	interface
of	IN	of
an	DT	an
ECG	NP	ECG
machine	NN	machine
and	CC	and
readability	NN	readability
of	IN	of
the	DT	the
ECG	NP	ECG
machine	NN	machine
with	IN	with
fogged	JJ	fogged
eye	NN	eye
wear	NN	wear
.	SENT	.
The	DT	the
experimental	JJ	experimental
results	NNS	result
indicate	VBP	indicate
that	IN	that
the	DT	the
fogging	VBG	fog
of	IN	of
the	DT	the
lenses	NNS	lens
has	VBZ	have
a	DT	a
significant	JJ	significant
impact	NN	impact
on	IN	on
the	DT	the
recognition	NN	recognition
speed	NN	speed
and	CC	and
the	DT	the
degree	NN	degree
of	IN	of
fogging	VBG	fog
has	VBZ	have
a	DT	a
significant	JJ	significant
correlation	NN	correlation
with	IN	with
the	DT	the
font	NN	font
color	NN	color
and	CC	and
brightness	NN	brightness
of	IN	of
the	DT	the
screen	NN	screen
.	SENT	.
With	IN	with
a	DT	a
reduction	NN	reduction
in	IN	in
screen	NN	screen
brightness	NN	brightness
,	,	,
its	PP$	its
influence	NN	influence
on	IN	on
recognition	NN	recognition
speed	NN	speed
shows	VBZ	show
a	DT	a
v-shaped	JJ	V-shaped
trend	NN	trend
,	,	,
and	CC	and
the	DT	the
response	NN	response
time	NN	time
is	VBZ	be
the	DT	the
shortest	JJS	short
when	WRB	when
the	DT	the
screen	NN	screen
brightness	NN	brightness
is	VBZ	be
150	CD	@card@
cd/m2	NN	<unknown>
.	SENT	.
When	WRB	when
eyewear	NP	eyewear
is	VBZ	be
fogged	JJ	fogged
,	,	,
yellow	JJ	yellow
and	CC	and
green	JJ	green
font	NN	font
colors	NNS	color
allow	VBP	allow
a	DT	a
quicker	JJR	quick
response	NN	response
with	IN	with
a	DT	a
higher	JJR	high
accuracy	NN	accuracy
.	SENT	.
On	IN	on
the	DT	the
whole	NN	whole
,	,	,
the	DT	the
subjects	NNS	subject
show	VBP	show
a	DT	a
better	JJR	good
performance	NN	performance
with	IN	with
the	DT	the
use	NN	use
of	IN	of
green	JJ	green
font	NN	font
,	,	,
but	CC	but
there	EX	there
are	VBP	be
inconsistencies	NNS	inconsistency
.	SENT	.
In	IN	in
terms	NNS	term
of	IN	of
the	DT	the
interaction	NN	interaction
among	IN	among
the	DT	the
three	CD	three
variables	NNS	variable
,	,	,
the	DT	the
same	JJ	same
results	NNS	result
are	VBP	be
also	RB	also
found	VBN	find
and	CC	and
the	DT	the
same	JJ	same
conclusion	NN	conclusion
can	MD	can
be	VB	be
made	VBN	make
accordingly	RB	accordingly
.	SENT	.
This	DT	this
research	NN	research
study	NN	study
can	MD	can
act	VB	act
